rank,key,name,affiliation,country,publications,senior_authorships,recent_publications,recency_ratio,trials_led,industry_trials,centrality_raw,focus,top_journals,active_years,region,citation_proxy,c_publications,c_seniority,c_recency,c_trials,c_citations,c_centrality,influence_score,tier,rising_star,whitespace
57,chen_y,Yu Chen,"Department of Surgical Oncology, Sir Run Run Shaw Hospital, Zhejiang University School of Medicine, Hangzhou, China.",China,15,4,11,0.733,0,0,0.32890019229479484,"Animals, Cell Line, Tumor, Cell Proliferation, Mice, Signal Transduction, Bortezomib","Cancer pathogenesis and therapy, Translational cancer research, Cancer research",2022-2026,Asia-Pacific,4,98.5,97.7,98.8,44.2,97.7,97.7,87.4,Tier 1,True,True
58,krishnan_a,Amrita Krishnan,Judy and Bernard Briskin Center for Multiple Myeloma Research Duarte California USA.,USA,5,2,3,0.6,3,0,0.1479450355877408,"Antibodies, Bispecific, Cytokine Release Syndrome, Dysgeusia, Neoplasm Recurrence, Local, Receptors, G-Protein-Coupled, T-Lymphocytes","EJHaem, The New England journal of medicine, Blood neoplasia",2022-2026,North America,2,85.1,86.2,78.7,97.4,86.2,88.4,87.3,Tier 1,False,True
59,chen_h,Huixian Chen,"Vip Ward, Affiliated Hospital of Nantong University, Nantong P.R. China.",China,14,5,9,0.643,0,0,0.21092716222254643,"Biomarkers, Tumor, Cell Line, Tumor, Gene Expression Regulation, Neoplastic, Prognosis, Antineoplastic Agents, Bone Marrow","Bioengineered, Hematology (Amsterdam, Netherlands), Gastroenterology",2021-2026,Asia-Pacific,5,98.3,99.0,98.1,44.2,99.0,94.3,87.2,Tier 1,False,True
60,li_h,Hui Li,"Department of Hematology, Sichuan Provincial People's Hospital, University of Electronic Science and Technology of China, Chengdu, China.",China,11,4,9,0.818,0,0,0.45040164977195707,"Bone Marrow, Leukemia, Myeloid, Acute, Myelodysplastic Syndromes, Plasma Cells, Cytokine Release Syndrome, Receptors, Chimeric Antigen","Annals of palliative medicine, ACS pharmacology & translational science, Human vaccines & immunotherapeutics",2021-2026,Asia-Pacific,4,97.3,97.7,98.1,44.2,97.7,98.8,87.1,Tier 1,True,True
61,yang_y,Yang Yang,"Department of Hematology, People's Hospital of Lianshui, Lianshui 223400, Huai'an, China.",China,16,4,10,0.625,0,0,0.19623672234661738,"Animals, Cell Line, Tumor, Mice, Gene Expression Regulation, Neoplastic, Prognosis, Bone Marrow","Hematology/oncology and stem cell therapy, Advanced science (Weinheim, Baden-Wurttemberg, Germany), Journal of healthcare engineering",2021-2026,Asia-Pacific,4,98.8,97.7,98.4,44.2,97.7,93.4,86.9,Tier 1,False,True
62,raje_n,Noopur Raje,"Center for Multiple Myeloma, Massachusetts General Hospital Cancer Center, Boston, MA.",USA,4,4,3,0.75,8,0,0.06508588104879694,"Antineoplastic Agents, Alkylating, Disease Management, Flow Cytometry, Melphalan, Neoplasm, Residual, Stem Cell Transplantation","Hematology. American Society of Hematology. Education Program, Blood cancer journal, Leukemia",2021-2026,North America,4,78.1,97.7,78.7,99.8,97.7,61.5,86.8,Tier 1,True,True
63,chen_s,Shuang Chen,"Jiangsu Institute of Hematology, National Clinical Research Center for Hematologic Diseases, NHC Key Laboratory of Thrombosis and Hemostasis,Collaborative Innovation Center of Hematology, The First Affiliated Hospital of Soochow University, Suzhou 215006, China.",China,12,4,10,0.833,0,0,0.19703142092335907,"Bortezomib, Cell Line, Tumor, Antineoplastic Agents, Chromothripsis, Chromosome Aberrations, Cytomegalovirus Retinitis","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Ocular immunology and inflammation, Genes & diseases",2022-2026,Asia-Pacific,4,97.8,97.7,98.4,44.2,97.7,93.5,86.7,Tier 1,True,True
64,wang_z,Zehua Wang,"Department of Oncology, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China.",China,11,4,10,0.909,0,0,0.20848386848331324,"Receptors, Chimeric Antigen, Immunotherapy, Adoptive, Tumor Microenvironment, Animals, Cell Line, Tumor, Neoplasm Recurrence, Local","Frontiers in immunology, Annals of hematology, Translational oncology",2022-2026,Asia-Pacific,4,97.3,97.7,98.4,44.2,97.7,94.2,86.6,Tier 1,True,True
65,zhou_x,Xiang Zhou,"Department of Internal Medicine II, University Hospital of Würzburg, Würzburg, Germany.",Germany,9,5,7,0.778,0,0,0.22968065583479624,"T-Lymphocytes, Receptors, Chimeric Antigen, Immunotherapy, Adoptive, Hematopoietic Stem Cell Transplantation, Immunotherapy, Antibodies, Monoclonal","Annals of hematology, American journal of translational research, Genes & diseases",2021-2025,Europe,5,95.6,99.0,97.0,44.2,99.0,95.3,86.5,Tier 1,True,True
66,weisel_k,Katja Weisel,"University Medical Center Hamburg-Eppendorf, Hamburg, Germany.",Germany,10,1,6,0.6,1,0,0.5120353985504762,"Prospective Studies, Influenza, Human, Hospitalization, Vaccination, Quality of Life, Registries","Clinical lymphoma, myeloma & leukemia, Journal of clinical oncology : official journal of the American Society of Clinical Oncology, EJHaem",2022-2026,Europe,1,96.6,65.9,95.4,91.0,65.9,99.4,86.4,Tier 1,False,True
67,wu_y,Yue Wu,"Bone Marrow Transplantation Center, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China.",China,18,3,10,0.556,0,0,0.26196549087645965,"Animals, Cell Line, Tumor, Mice, Antibodies, Monoclonal, Xenograft Model Antitumor Assays, Signal Transduction","Acta pharmaceutica Sinica. B, Frontiers in immunology, The Journal of international medical research",2021-2026,Asia-Pacific,3,99.2,94.8,98.4,44.2,94.8,96.2,86.4,Tier 1,False,True
68,landgren_o,Ola Landgren,Sylvester Comprehensive Cancer Center.,Unknown,9,4,6,0.667,0,0,0.43909054107944745,"Monoclonal Gammopathy of Undetermined Significance, Disease Progression, Genomics, Risk Assessment, Thrombosis, Prospective Studies","Seminars in hematology, Blood, Hematology. American Society of Hematology. Education Program",2021-2026,Unknown,4,95.6,97.7,95.4,44.2,97.7,98.6,86.2,Tier 1,False,True
69,martinezlopez_j,Joaquín Martínez-López,"Department of Translational Hematology, Instituto de Investigación Hospital 12 de Octubre (imas12), Hematological Malignancies Clinical Research Unit H120-CNIO, CIBERONC, Madrid, Spain.",Spain,12,3,7,0.583,0,0,0.6459338657438566,"Antibodies, Monoclonal, Antibodies, Viral, Antiviral Agents, Biomarkers, Disease Progression, Disease Susceptibility","HemaSphere, Frontiers in immunology, Frontiers in oncology",2021-2026,Europe,3,97.8,94.8,97.0,44.2,94.8,99.6,86.2,Tier 1,False,True
70,kastritis_e,Efstathios Kastritis,"Department of Clinical Therapeutics, School of Medicine, National and Kapodistrian University of Athens, 11528 Athens, Greece.",Greece,9,4,6,0.667,0,0,0.29289719574557277,"Immunogenic Cell Death, Antibodies, Monoclonal, Humanized, Antibodies, Bispecific, Europe, Neoplasm Recurrence, Local, Practice Guidelines as Topic","American journal of hematology, Clinical lymphoma, myeloma & leukemia, Biomedicines",2021-2026,Europe,4,95.6,97.7,95.4,44.2,97.7,97.2,86.1,Tier 1,False,True
71,li_s,Shumei Li,"Department of Hematology, Ji'ning No. 1 People's Hospital, Ji'ning, Shandong, China.",China,12,3,9,0.75,0,0,0.2893049719427784,"Retrospective Studies, Animals, STAT3 Transcription Factor, Signal Transduction, Cell Proliferation, Cell Line, Tumor","Open life sciences, Drug design, development and therapy, Phytomedicine : international journal of phytotherapy and phytopharmacology",2021-2026,Asia-Pacific,3,97.8,94.8,98.1,44.2,94.8,97.1,86.1,Tier 1,True,True
72,vandedonk_n,Niels W C J van de Donk,"Amsterdam University Medical Center, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands.",Netherlands,11,3,7,0.636,0,0,0.4962601765071546,"Antibodies, Bispecific, T-Lymphocytes, Antineoplastic Agents, Dysgeusia, Neoplasm Recurrence, Local, Receptors, G-Protein-Coupled","The New England journal of medicine, Clinical lymphoma, myeloma & leukemia, British journal of haematology",2022-2026,Europe,3,97.3,94.8,97.0,44.2,94.8,99.3,86.1,Tier 1,False,True
73,wang_w,Wei Wang,"College of Life Sciences, Sichuan University, Chengdu, China.",China,12,3,8,0.667,0,0,0.26632812454874244,"Animals, Retrospective Studies, Plasma Cells, B-Cell Maturation Antigen, Drug Resistance, Neoplasm, Immune Checkpoint Inhibitors","Frontiers in immunology, Annals of hematology, Translational cancer research",2021-2026,Asia-Pacific,3,97.8,94.8,97.7,44.2,94.8,96.4,86.0,Tier 1,False,True
74,hansen_d,Doris K Hansen,"H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, United States.",USA,8,4,7,0.875,0,0,0.30505936116873505,"Receptors, Chimeric Antigen, Immunotherapy, Adoptive, Neoplasms, Plasma Cell, Albumins","Cancers, Transplantation and cellular therapy, bioRxiv : the preprint server for biology",2023-2026,North America,4,94.4,97.7,97.0,44.2,97.7,97.5,86.0,Tier 1,True,True
75,lin_y,Yi Lin,"Division of Hematology, Mayo Clinic, Rochester, Minnesota, USA.",USA,10,3,8,0.8,0,0,0.4096169596879251,"Retrospective Studies, RecQ Helicases, Melphalan, DNA Repair, Drug Resistance, Adolescent","Blood cancer journal, American journal of hematology, Frontiers in immunology",2022-2026,North America,3,96.6,94.8,97.7,44.2,94.8,98.4,85.9,Tier 1,True,True
76,zhou_j,Jianbiao Zhou,"Cancer Science Institute of Singapore, National University of Singapore, Centre for Translational Medicine, Singapore, Republic of Singapore.",Singapore,12,3,9,0.75,0,0,0.21097554722828418,"Hematopoietic Stem Cell Transplantation, Retrospective Studies, Cell Line, Tumor, Cell Proliferation, DNA-Binding Proteins, Up-Regulation","Zhongguo shi yan xue ye xue za zhi, Cancer research, Bone marrow transplantation",2021-2026,Asia-Pacific,3,97.8,94.8,98.1,44.2,94.8,94.4,85.9,Tier 1,True,True
77,suzuki_k,Kazuhito Suzuki,"Division of Clinical Oncology/Hematology, Department of Internal Medicine, The Jikei University School of Medicine, 3-25-8 Nishi-Shimbashi, Minato-ku, Tokyo, 105-0003, Japan. kaz-suzuki@jikei.ac.jp.",Japan,8,4,6,0.75,0,0,0.38478677446785936,"Dexamethasone, Retrospective Studies, Antibodies, Monoclonal, Humanized, Lenalidomide, Quality of Life, Transplantation, Autologous","Acta haematologica, International journal of hematology, Cureus",2023-2026,Asia-Pacific,4,94.4,97.7,95.4,44.2,97.7,98.3,85.9,Tier 1,True,True
78,beksac_m,Meral Beksac,"Department of Hematology, Ankara University School of Medicine, Ankara, Turkey. Electronic address: beksac@medicine.ankara.edu.tr.",Turkey,8,5,5,0.625,0,0,0.29222012336469955,"Lenalidomide, Thalidomide, Retrospective Studies, Remission Induction, Dexamethasone, Transplantation, Autologous","Clinical lymphoma, myeloma & leukemia, The Lancet. Haematology, Molecular biology reports",2023-2026,Middle East / GCC,5,94.4,99.0,93.1,44.2,99.0,97.1,85.8,Tier 1,False,True
79,ghobrial_i,Irene M Ghobrial,"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Broad Institute of Massachusetts Institute of Technology (MIT) and Harvard, Cambridge, MA, USA. Electronic address: irene_ghobrial@dfci.harvard.edu.",USA,4,2,3,0.75,4,0,0.13574359162892694,"Ad26COVS1, Antibodies, Viral, Asymptomatic Diseases, BNT162 Vaccine, COVID-19, COVID-19 Vaccines","Cancer cell, Nature chemical biology, Haematologica",2022-2026,North America,2,78.1,86.2,78.7,98.7,86.2,86.8,85.6,Tier 1,True,True
80,wei_x,Xiaolei Wei,"Department of Hematology, Nanfang Hospital, Southern Medical University, Guangzhou, China.",China,11,4,5,0.455,0,0,0.18011415942671521,"Prognosis, Gene Expression Regulation, Neoplastic, Antibodies, Monoclonal, Retrospective Studies, Bone Diseases, MicroRNAs","Translational cancer research, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, ACS omega",2021-2026,Asia-Pacific,4,97.3,97.7,93.1,44.2,97.7,92.0,85.6,Tier 1,False,True
81,hungria_v,Vania Hungria,"Department of Hematology, Clinica São Germano and Santa Casa Medical School, São Paulo, Brazil.",Brazil,8,3,7,0.875,0,0,0.46240606941447576,"Antibodies, Bispecific, Brazil, Influenza, Human, Prospective Studies, Hospitalization, Vaccination","Clinical lymphoma, myeloma & leukemia, Current oncology (Toronto, Ont.), American journal of hematology",2023-2026,Latin America,3,94.4,94.8,97.0,44.2,94.8,99.1,85.3,Tier 1,True,True
82,zhang_r,Rui Zhang,"Department of Hematology, the First Affiliated Hospital of Nanjing Medical University, Jiangsu Province Hospital, Nanjing 210029, China.",China,12,4,7,0.583,0,0,0.11016522352493548,"Prognosis, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Retrospective Studies, Antigens, CD34, Cell Line, Tumor","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Chinese medical journal, Life sciences",2022-2026,Asia-Pacific,4,97.8,97.7,97.0,44.2,97.7,81.6,85.3,Tier 1,False,True
83,hu_y,Yu Hu,"Institute of Hematology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430022, China. Electronic address: dr_huyu@126.com.",China,8,4,4,0.5,0,0,0.34124712828223125,"Animals, Mice, Positron Emission Tomography Computed Tomography, Fluorodeoxyglucose F18, Retrospective Studies, Adenosine","Molecular therapy : the journal of the American Society of Gene Therapy, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, European journal of nuclear medicine and molecular imaging",2022-2026,Asia-Pacific,4,94.4,97.7,88.8,44.2,97.7,98.0,84.9,Tier 1,False,True
84,xu_j,Jie Xu,"Center for Cellular Immunotherapies, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, PA 19104, USA.",USA,10,3,5,0.5,0,0,0.1882738905260464,"Plasma Cells, Immunoglobulin M, In Situ Hybridization, Fluorescence, Prognosis, Adenosine, Alpha-Ketoglutarate-Dependent Dioxygenase FTO","Blood science (Baltimore, Md.), Frontiers in cell and developmental biology, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi",2021-2026,North America,3,96.6,94.8,93.1,44.2,94.8,92.9,84.7,Tier 1,False,True
85,he_a,Aili He,"Department of Hematology, The Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.",China,7,4,6,0.857,0,0,0.15441744923439293,"Animals, Dexamethasone, Neoplasm Recurrence, Local, Thalidomide, Biomarkers, Tumor, Prognosis","Frontiers in immunology, Life sciences, Annals of hematology",2023-2025,Asia-Pacific,4,92.7,97.7,95.4,44.2,97.7,89.2,84.5,Tier 1,True,True
86,khandanpour_c,Cyrus Khandanpour,"Medizinische Klinik A, University Hospital Münster, Münster, Germany.",Germany,4,2,3,0.75,1,0,0.15608106180513623,"Exome Sequencing, Pilot Projects, Mutation, Prognosis, DNA Mutational Analysis, Retrospective Studies","Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie, International journal of molecular sciences, Clinical lymphoma, myeloma & leukemia",2023-2026,Europe,2,78.1,86.2,78.7,91.0,86.2,89.4,84.4,Tier 1,True,True
87,richter_j,Joshua Richter,"Tisch Cancer Institute, Icahn School of Medicine at Mount Sinai, New York, NY, United States.",USA,7,5,6,0.857,0,0,0.12192419611143221,"Neoplasm Recurrence, Local, Antibodies, Bispecific, Retrospective Studies, Hematopoietic Stem Cell Transplantation, T-Lymphocytes, Antineoplastic Agents, Immunological","Frontiers in oncology, British journal of haematology, Blood neoplasia",2021-2026,North America,5,92.7,99.0,95.4,44.2,99.0,84.5,84.4,Tier 1,True,True
88,terpos_e,Evangelos Terpos,"Department of Clinical Therapeutics, School of Medicine, National and Kapodistrian University of Athens, 11528 Athens, Greece.",Greece,11,5,3,0.273,0,0,0.27838791078766456,"Influenza, Human, Prospective Studies, Hospitalization, Vaccination, Immunogenic Cell Death, Antibodies, Monoclonal, Humanized","EJHaem, Cancers, Biomedicines",2021-2026,Europe,5,97.3,99.0,78.7,44.2,99.0,96.6,84.3,Tier 1,False,True
89,moreau_p,Philippe Moreau,"Inserm UMR892, CNRS 6299, Université de Nantes; Centre Hospitalier Universitaire de Nantes, Unité Mixte de Genomique du Cancer, Nantes, France.",France,4,2,3,0.75,2,0,0.10473737418787414,"Prospective Studies, Neoplasm Recurrence, Local, Alternative Splicing, RNA Splicing Factors, Exons, Serine-Arginine Splicing Factors","Clinical lymphoma, myeloma & leukemia, Blood cancer journal, Advances in therapy",2022-2026,Europe,2,78.1,86.2,78.7,95.2,86.2,80.4,84.3,Tier 1,True,True
90,huang_w,Wenpeng Huang,"Department of Hematology, Nanfang Hospital, Southern Medical University, Guangzhou, China.",China,9,4,6,0.667,0,0,0.10225031302321574,"Retrospective Studies, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Pneumonia, Dexamethasone, Bortezomib","Translational cancer research, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Bioorganic chemistry",2021-2026,Asia-Pacific,4,95.6,97.7,95.4,44.2,97.7,79.3,84.3,Tier 1,False,True
91,li_z,Zhaohuan Li,"School of Pharmacy, Weifang Medical University, Weifang 261053, China.",China,16,2,12,0.75,0,0,0.37887216217058534,"Cell Line, Tumor, Antineoplastic Agents, Cell Proliferation, Animals, Bortezomib, China","Biomolecules, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Frontiers in pharmacology",2021-2026,Asia-Pacific,2,98.8,86.2,99.2,44.2,86.2,98.2,84.1,Tier 1,True,True
92,zhong_l,Lili Zhong,"Department of Oncology, The Second Affiliated Hospital of Chengdu Medical College, China National Nuclear Corporation 416 Hospital, Chengdu, China.",China,4,2,3,0.75,1,0,0.13306865134529924,,"Frontiers in oncology, Cancer pathogenesis and therapy",2023-2026,Asia-Pacific,2,78.1,86.2,78.7,91.0,86.2,86.5,84.1,Tier 1,True,True
93,raab_m,Marc S Raab,"Heidelberg Myeloma Center, Department of Internal Medicine V, Heidelberg University Hospital and Faculty, Heidelberg, Germany. Electronic address: marc.raab@med.uni-heidelberg.de.",Germany,6,1,6,1.0,1,0,0.19081695777125007,"Magnetic Resonance Imaging, Whole Body Imaging, Prognosis, Neoplasm Recurrence, Local, Bone Marrow, Drug Resistance, Neoplasm","Journal of clinical oncology : official journal of the American Society of Clinical Oncology, Clinical lymphoma, myeloma & leukemia, Leukemia",2025-2026,Europe,1,89.7,65.9,95.4,91.0,65.9,93.1,84.0,Tier 1,True,True
94,cai_z,Zhen Cai,"Bone Marrow Transplantation Center, the First Affiliated Hospital, Zhejiang University School of Medicine, Zhejiang, Hangzhou, China.",China,6,2,2,0.333,1,1,0.1830914559939282,"Cell Line, Tumor, Cell Proliferation, DNA-Binding Proteins, Up-Regulation, Dexamethasone, Neoplasm Recurrence, Local","Blood science (Baltimore, Md.), Cancer research, Frontiers in oncology",2021-2025,Asia-Pacific,2,89.7,86.2,55.1,91.0,86.2,92.4,84.0,Tier 1,False,False
95,yang_j,Jing Yang,"Department of Hematology, Beijing Tongren Hospital, Capital Medical University, Beijing, China.",China,9,3,4,0.444,0,0,0.21242819625256515,"Bone Marrow, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Retrospective Studies, Risk Factors, Gene Expression Profiling","Clinical and translational medicine, Zhongguo shi yan xue ye xue za zhi, Journal of hematology & oncology",2021-2026,Asia-Pacific,3,95.6,94.8,88.8,44.2,94.8,94.5,83.9,Tier 1,False,True
